CustomerID,CustomerName,HomeArea,JoinDate,Membership,TransactionID,OrderDate,Area,Product,Category,Qty,UnitPrice,PaymentMode
CUST001,Debashish Karmakar,New Market,2024-06-01,Ragular,TXN0139,2025-07-14,Dum Dum,Punjabi,Clothing,1.0,300.0,Card
CUST002,Riya Karmakar,Ballygunge,2024-11-06,Ragular,TXN0019,2025-12-29,New Market,Fish (Rui),Food,1.0,250.0,Card
CUST002,Riya Karmakar,Ballygunge,2024-11-06,Ragular,TXN0056,2025-06-02,Ballygunge,Rosogolla Tin,Food,1.0,800.0,UPI
CUST003,Suroj Karmakar,Dum Dum,2023-01-13,Gold,TXN0171,2025-01-22,New Market,Jute Bag,Accessories,1.0,450.0,Cash
CUST003,Suroj Karmakar,Dum Dum,2023-01-13,Gold,TXN0231,2025-11-25,Dum Dum,Jute Bag,Accessories,1.0,300.0,UPI
CUST003,Suroj Karmakar,Dum Dum,2023-01-13,Gold,TXN0236,2025-07-25,Gariahat,Punjabi,Clothing,1.0,150.0,UPI
CUST003,Suroj Karmakar,Dum Dum,2023-01-13,Gold,TXN0231,2025-11-25,Dum Dum,Jute Bag,Accessories,1.0,300.0,UPI
CUST007,Tanmoy Chatterjee,Howrah,2025-03-25,Ragular,TXN0128,2025-07-11,Dum Dum,Tea Packet,Grocery,2.0,600.0,UPI
CUST009,Sneha Banerjee,Howrah,2024-12-01,Gold,TXN0031,2025-05-26,Park Street,Tea Packet,Grocery,1.0,800.0,Card
CUST010,Ananya Ghosh,Dum Dum,2024-01-24,Ragular,TXN0033,2025-06-25,Howrah,Jute Bag,Accessories,3.0,450.0,Cash
CUST010,Ananya Ghosh,Dum Dum,2024-01-24,Ragular,TXN0078,2025-03-02,Howrah,Sweets Box,Food,1.0,450.0,Cash
CUST010,Ananya Ghosh,Dum Dum,2024-01-24,Ragular,TXN0083,2025-03-26,Salt Lake,Jute Bag,Accessories,1.0,150.0,Card
CUST010,Ananya Ghosh,Dum Dum,2024-01-24,Ragular,TXN0112,2025-02-16,DUM DUM,Fish (Rui),Food,5.0,800.0,UPI
CUST010,Ananya Ghosh,Dum Dum,2024-01-24,Ragular,TXN0167,2025-05-04,Dum Dum,Jute Bag,Accessories,1.0,800.0,Cash
CUST010,Ananya Ghosh,Dum Dum,2024-01-24,Ragular,TXN0247,2025-06-01,Howrah,Saree,Clothing,3.0,1200.0,Cash
CUST011,Nandini Sen,Gariahat,2024-10-14,Gold,TXN0063,2025-10-24,Salt Lake,Kurti,Clothing,2.0,250.0,UPI
